bin,binBarcode,level,option1,option2,option3,productName,productType,quantity,shelf,sku,warehouse,expiration,lotName,minCost,avgCost,maxCost,price,committed,incoming
Grooming,1778252024408,1,Title: Default Title,,,Andis AGC Super 2-Speed Clipper with T-84 Blade,"Horse Care > Grooming & Bathing > Clippers, Blades & Accessories",3,Eliot's Trailer,23330,Corro Trailer 1,,,144310,144310,144310,209990,0,0
Grooming,1778252024408,1,Size: 1 Quart,,,Lucky Braids All-in-One Horse Shampoo,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Shampoos",5,Eliot's Trailer,2325,Corro Trailer 1,,,20000,20000,20000,30990,0,0
Fly Gear,1778252234584,1,Size: 1 Gallon,,,Farnam Bronco Equine Fly Spray,Horse Care > Fly & Insect Control > Fly Sprays & Traps,1,Eliot's Trailer,100502327,Corro Trailer 1,,,18380,18380,18380,29970,0,9
First Aid,1778252086689,1,Size: 4-inch x 5 Yards,Color: Black,,Andover CoFlex Vet Cohesive Bandages - Single Roll,Horse Care > First Aid & Wellness > First Aid Supplies,20,Eliot's Trailer,3540BK-018,Corro Trailer 1,,,1460,1460,1460,1990,0,0
Grooming,1778252024408,1,Size: 16 Ounces,,,Cowboy Magic Detangler & Shine,"Horse Care > Grooming & Bathing > Shampoos, Conditioners & Sprays > Detanglers, Shines & Sprays",6,Eliot's Trailer,11815-2,Corro Trailer 1,,,21080,21880,23480,28990,0,0
Grooming,1778252024408,1,Size: Gallon,,,Cowboy Magic GreenSpot Remover,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Stain Removers",2,Eliot's Trailer,320444,Corro Trailer 1,,,24470,24755,25040,39990,0,0
Grooming,1778252024408,1,Size: 32 Ounces,,,Cowboy Magic Detangler & Shine,"Horse Care > Grooming & Bathing > Shampoos, Conditioners & Sprays > Detanglers, Shines & Sprays",6,Eliot's Trailer,11815-3,Corro Trailer 1,,,38300,39947,43240,49990,0,0
Grooming,1778252024408,1,Size: 32 Ounces,,,Cowboy Magic GreenSpot Remover,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Stain Removers",3,Eliot's Trailer,013-4000,Corro Trailer 1,,,7410,7410,7410,14990,0,0
Treats / Toys,1778252144214,1,Size: 1.5 Kilograms,,,Cavalor Crunchies Healthy Horse Snacks,Horse Care > Treats & Toys > Treats,4,Eliot's Trailer,82696309,Corro Trailer 1,2026-09-10,Lot# LL099,13450,13450,13450,19990,0,0
Supplements,1778252144213,1,Size: 10 Pounds Powder,,,Kentucky Performance Elevate Maintenance Powder,Horse Care > Supplements > Vitamins & Minerals,2,Eliot's Trailer,990011,Corro Trailer 1,2027-10-01,Lot# 550,196500,197230,198690,249950,0,0
Supplements,1778252144213,1,Size: 2 Pounds Powder,,,Kentucky Performance Elevate Maintenance Powder,Horse Care > Supplements > Vitamins & Minerals,4,Eliot's Trailer,14526-1,Corro Trailer 1,2027-10-01,Lot# 550,39940,39943,39950,54990,0,0
Supplements,1778252144213,1,Size: 2 Pounds Powder,,,Kentucky Performance Elevate Maintenance Powder,Horse Care > Supplements > Vitamins & Minerals,1,Eliot's Trailer,14526-1,Corro Trailer 1,2027-06-01,Lot# 3306115,39940,39943,39950,54990,0,0
Treats / Toys,1778252144214,1,Size: 750 Grams,,,Cavalor Fruities Healthy Horse Snacks,Horse Care > Treats & Toys > Treats,2,Eliot's Trailer,82696306,Corro Trailer 1,2027-07-04,Lot# LL280,7220,7220,7220,10950,0,0
First Aid,1778252086689,1,Size: 475 Milliliters,,,Effol Hoof Oil,Horse Care > Grooming & Bathing > Hoof Oils & Conditioner,2,Eliot's Trailer,111475,Corro Trailer 1,,,14200,14200,14200,24990,0,0
First Aid,1778252086689,1,Size: 15 Ounces,,,Absorbine Hooflex All Natural Dressing And Conditioner,Horse Care > Grooming & Bathing > Hoof Oils & Conditioner,2,Eliot's Trailer,14496-1,Corro Trailer 1,,,13970,13970,13970,20890,0,0
First Aid,1778252086689,1,Size: 1 Liter,Color: Green,,Effol Hoof Ointment,Horse Care > Grooming & Bathing > Hoof Oils & Conditioner,2,Eliot's Trailer,110112,Corro Trailer 1,,,14500,14500,14500,21990,0,0
First Aid,1778252086689,1,Size: 15 Ounces,,,Absorbine Hooflex Therapeutic Conditioner Liquid,Horse Care > Grooming & Bathing > Hoof Oils & Conditioner,2,Eliot's Trailer,11713-1,Corro Trailer 1,,,12720,12720,12720,19790,0,0
Hoof Care,1778252024407,1,Size: 4 Pounds,,,Absorbine Magic Cushion,Horse Care > First Aid & Wellness > Poultices & Hoof Packing,1,Eliot's Trailer,13671-2,Corro Trailer 1,,,38320,41700,45080,56190,0,0
Treats / Toys,1778252144214,1,Size: 32 Ounces,,,Mrs. Pastures Cookies for Horses,Horse Care > Treats & Toys > Treats,3,Eliot's Trailer,708852000352,Corro Trailer 1,,,7300,7300,7300,14990,0,0
Grooming,1778252024408,1,Size: 16 Ounces,,,exhibitor's QUIC BRAID Total Mane & Tail Control,Horse Care > Grooming & Bathing > Brushes & Tools > Braiding,5,Eliot's Trailer,321326,Corro Trailer 1,,,8060,8060,8060,15340,0,0
Grooming,1778252024408,1,Size: 64 Ounces,,,exhibitor's QUIC SILVER Whitening Intensifier & Shampoo,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Shampoos",27,Eliot's Trailer,321164,Corro Trailer 1,,,23230,23230,23230,35990,0,0
Grooming,1778252024408,1,Size: 16 Ounces,,,exhibitor's QUIC SILVER Whitening Intensifier & Shampoo,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Shampoos",6,Eliot's Trailer,12029-1,Corro Trailer 1,,,7630,7630,7630,13990,0,0
Grooming,1778252024408,1,Size: 1 Gallon,,,Absorbine ShowSheen Hair Polish & Detangler,"Horse Care > Grooming & Bathing > Shampoos, Conditioners & Sprays > Detanglers, Shines & Sprays",4,Eliot's Trailer,428940,Corro Trailer 1,,,30160,30160,30160,43590,0,16
Grooming,1778252024408,1,Size: 32-Ounce Spray,,,Absorbine ShowSheen Hair Polish & Detangler,"Horse Care > Grooming & Bathing > Shampoos, Conditioners & Sprays > Detanglers, Shines & Sprays",12,Eliot's Trailer,11094-1,Corro Trailer 1,,,11940,11940,11940,17990,0,0
Treats / Toys,1778252144214,1,Size: 750 Grams,,,Cavalor Sweeties Healthy Horse Snacks,Horse Care > Treats & Toys > Treats,4,Eliot's Trailer,82696304,Corro Trailer 1,2027-04-24,Lot# LL297,7290,7290,7290,10950,0,0
Grooming,1778252024408,1,Title: Default Title,,,Epona Tiger’s Tongue Horse Groomer,"Horse Care > Grooming & Bathing > Brushes & Tools > Grooming Gloves, Curry Combs & Deshedding Tools",19,Eliot's Trailer,TIGER-1010,Corro Trailer 1,,,3750,3750,3750,9950,0,31
Fly Gear,1778252234584,1,Size: 32 Ounces,,,Absorbine UltraShield Green Natural Fly Repellent,Horse Care > Fly & Insect Control > Fly Sprays & Traps,2,Eliot's Trailer,429501,Corro Trailer 1,,,15480,15480,15480,23590,0,4
Supplements,1778252144213,1,Size: 1 Syringe,,,Merial UlcerGard Oral Paste,Horse Care > Supplements > Digestive & Gut Health,40,Eliot's Trailer,126652,Corro Trailer 1,2026-11-01,Lot# AD017/25,36650,37750,38850,42990,0,0
First Aid,1778252086689,1,Size: 1 Gallon,,,Farnam Vetrolin Liniment,Horse Care > First Aid & Wellness > Liniments,2,Eliot's Trailer,80193,Corro Trailer 1,,,35590,35590,35590,44990,0,0
Grooming,1778252024408,1,Size: 1 Gallon,,,Lucky Braids Whitener & Dry Wash Spray,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Stain Removers",2,Eliot's Trailer,2360,Corro Trailer 1,,,52000,52000,52000,99950,0,0
First Aid,1778252086689,1,Size: 32 Ounces,,,Farnam Vetrolin Liniment,Horse Care > First Aid & Wellness > Liniments,2,Eliot's Trailer,80192,Corro Trailer 1,,,12730,12730,12730,15990,0,0
Grooming,1778252024408,1,Size: 1 Quart,,,Lucky Braids Whitener & Dry Wash Spray,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Stain Removers",3,Eliot's Trailer,2362,Corro Trailer 1,,,25000,25000,25000,39950,0,7
First Aid,1778252086689,1,Size: 16 Ounces,,,Sore No-More Performance Liniment,Horse Care > First Aid & Wellness > Liniments,3,Eliot's Trailer,14900-2,Corro Trailer 1,,,15230,15885,16540,28130,0,0
Fly Gear,1778252234584,1,Size: Gallon,,,E3 All Natural Fly Repellent Spray,Horse Care > Fly & Insect Control > Fly Sprays & Traps,1,Eliot's Trailer,30128,Corro Trailer 1,,,25890,25890,25890,34990,0,2
Grooming,1778252024408,1,Size: 1 Gallon,,,E3 Antibacterial & Antifungal Shampoo,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Shampoos",4,Eliot's Trailer,17230-2,Corro Trailer 1,,,31820,31820,31820,47780,0,0
Grooming,1778252024408,1,Size: 32 Ounces,,,E3 Argan Oil Conditioner,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Conditioners",6,Eliot's Trailer,17235-1,Corro Trailer 1,,,9620,9620,9620,17980,0,2
Grooming,1778252024408,1,Size: 1 Gallon,,,E3 Argan Oil Shampoo,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Shampoos",4,Eliot's Trailer,17231-3,Corro Trailer 1,,,28670,28670,28670,49950,0,0
Grooming,1778252024408,1,Size: 32 Ounces,,,E3 Antibacterial & Antifungal Shampoo,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Shampoos",4,Eliot's Trailer,17230-1,Corro Trailer 1,,,0,6950,13900,25170,0,0
Grooming,1778252024408,1,Size: 32 Ounces,,,E3 Argan Oil Shampoo,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Shampoos",6,Eliot's Trailer,120032,Corro Trailer 1,,,12040,12040,12040,21290,0,0
Grooming,1778252024408,1,Color: Charcoal/Salt & Pepper,,,Lucky Braids Horse Braiding Yarn,Horse Care > Grooming & Bathing > Brushes & Tools > Braiding,1,Eliot's Trailer,2440,Corro Trailer 1,,,5750,5750,5750,17950,0,0
Treats / Toys,1778252144214,1,Size: 1 Pound,,,German Horse Minty Muffins,Horse Care > Treats & Toys > Treats,10,Eliot's Trailer,15497-1,Corro Trailer 1,,,7530,7530,7530,10990,0,0
Grooming,1778252024408,1,Color: Chestnut/Sorrel,,,Lucky Braids Horse Braiding Yarn,Horse Care > Grooming & Bathing > Brushes & Tools > Braiding,2,Eliot's Trailer,2420,Corro Trailer 1,,,5750,5750,5750,17950,0,0
Grooming,1778252024408,1,Color: Liver Chestnut,,,Lucky Braids Horse Braiding Yarn,Horse Care > Grooming & Bathing > Brushes & Tools > Braiding,1,Eliot's Trailer,2422,Corro Trailer 1,,,5750,5750,5750,17950,0,0
Grooming,1778252024408,1,Color: Light Grey/Flaxen,,,Lucky Braids Horse Braiding Yarn,Horse Care > Grooming & Bathing > Brushes & Tools > Braiding,2,Eliot's Trailer,2430,Corro Trailer 1,,,5750,5750,5750,17950,0,0
Treats / Toys,1778252144214,1,Size: 1 Pound,,,German Horse Muffins,Horse Care > Treats & Toys > Treats,13,Eliot's Trailer,011-1001001,Corro Trailer 1,,,5120,5120,5120,9990,0,0
Grooming,1778252024408,1,Color: Black,,,Lucky Braids Horse Braiding Yarn,Horse Care > Grooming & Bathing > Brushes & Tools > Braiding,2,Eliot's Trailer,2410,Corro Trailer 1,,,5750,5750,5750,17950,0,0
Horse Wear,1778252234587,1,Size: Oversized,Color: Black,,EquiFit Ear Bonnet,Tack & Equipment > Ear Plugs & Bonnets > Bonnets,1,Eliot's Trailer,02016O,Corro Trailer 1,,,54970,54970,54970,108000,0,0
Horse Wear,1778252234587,1,Size: Horse,Color: Black,,EquiFit Ear Bonnet,Tack & Equipment > Ear Plugs & Bonnets > Bonnets,1,Eliot's Trailer,02016H,Corro Trailer 1,,,54970,54970,54970,108000,0,0
Grooming,1778252024408,1,Color: Purple,,,Tough-1 Great Grip Mane & Tail Brush,Horse Care > Grooming & Bathing > Brushes & Tools > Brushes & Combs,2,Eliot's Trailer,68-907-10-0,Corro Trailer 1,,,3690,3690,3690,6990,0,0
Grooming,1778252024408,1,Color: Royal Blue,,,Tough-1 Great Grip Mane & Tail Brush,Horse Care > Grooming & Bathing > Brushes & Tools > Brushes & Combs,2,Eliot's Trailer,68-907-4-0,Corro Trailer 1,,,3690,3690,3690,6990,0,0
Supplements,1778252144213,1,Size: 2 Kilograms,,,Cavalor Lactatec Powder,Horse Care > Supplements > Inflammation & Pain Relief,1,Eliot's Trailer,82194702,Corro Trailer 1,2027-10-30,Lot# 25100024,164590,164590,164590,241990,0,0
Supplements,1778252144213,1,Size: 1 tube,,,Cavalor Take It Easy Forte,Horse Care > Supplements > Calming & Focus,43,Eliot's Trailer,82194676-SINGLE,Corro Trailer 1,2027-09-30,Lot# 2507002,19620,19620,19620,28990,0,0
Supplements,1778252144213,1,Size: 5 Kilograms,,,Cavalor Lactatec Powder,Horse Care > Supplements > Inflammation & Pain Relief,1,Eliot's Trailer,82194705,Corro Trailer 1,2027-06-30,Lot# US25080001,305390,305390,305390,448990,0,0
Grooming,1778252024408,1,Size: 1 Gallon,,,"Healthy HairCare Horse Moisturizer Concentrate for Coat, Mane, and Tail","Horse Care > Grooming & Bathing > Shampoos, Conditioners & Sprays > Detanglers, Shines & Sprays",16,Eliot's Trailer,16906-4,Corro Trailer 1,,,37060,38900,40740,59990,0,0
Grooming,1778252024408,1,Size: T-10,,,Andis UltraEdge Detachable Blade,"Horse Care > Grooming & Bathing > Clippers, Blades & Accessories",10,Eliot's Trailer,13235-10,Corro Trailer 1,,,29720,29720,29720,47990,0,0
Grooming,1778252024408,1,Size: T-84,,,Andis UltraEdge Detachable Blade,"Horse Care > Grooming & Bathing > Clippers, Blades & Accessories",10,Eliot's Trailer,13235-11,Corro Trailer 1,,,25020,25020,25020,39990,0,0
Grooming,1778252024408,1,Size: #10 (Medium),,,Andis UltraEdge Detachable Blade,"Horse Care > Grooming & Bathing > Clippers, Blades & Accessories",10,Eliot's Trailer,64071,Corro Trailer 1,,,18500,18500,18500,30950,0,0
Supplements,1778252144213,1,Size: 10-Pack,,,Nupafeed Magnesium Horse Calming Concentrated Paste,Horse Care > Supplements > Calming & Focus,0,Eliot's Trailer,MAHBOX10,Corro Trailer 1,,,92000,92000,92000,131000,0,0
Supplements,1778252144213,1,Size: 5 Liters,,,Nupafeed MAH Magnesium Daily Liquid,Horse Care > Supplements > Calming & Focus,2,Eliot's Trailer,MAH5,Corro Trailer 1,2028-08-01,Lot# 041765,161000,161000,161000,233000,0,0
Supplements,1778252144213,1,Size: 3 Liters,,,Nupafeed MAH Magnesium Daily Liquid,Horse Care > Supplements > Calming & Focus,2,Eliot's Trailer,MAH3,Corro Trailer 1,2028-02-01,Lot# 038981,107000,107000,107000,165000,0,0
Grooming,1778252024408,1,Size: 120 Ounces,,,Orvus Paste Soap,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Shampoos",3,Eliot's Trailer,11068-1,Corro Trailer 1,,,22210,22210,22210,31990,0,0
Grooming,1778252024408,1,Title: Default Title,,,Epona April Power Shower Horse Sponge,Horse Care > Grooming & Bathing > Brushes & Tools > Sponges,12,Eliot's Trailer,1089,Corro Trailer 1,,,3750,3750,3750,9950,0,18
Grooming,1778252024408,1,Title: Default Title,,,Epona Ulta Mitt,"Horse Care > Grooming & Bathing > Brushes & Tools > Grooming Gloves, Curry Combs & Deshedding Tools",5,Eliot's Trailer,12423-1,Corro Trailer 1,,,7260,7260,7260,14970,0,0
Hoof Care,1778252024407,1,Size: 32 Ounces,,,E3 Hoof Oil Conditioner and Dressing,Horse Care > Grooming & Bathing > Hoof Oils & Conditioner,6,Eliot's Trailer,001-80032,Corro Trailer 1,,,16110,18810,21510,22990,0,0
Treats / Toys,1778252144214,1,Size: 550 Grams,Flavor: Apple,,Likit Granola Horse Treat Refill,Horse Care > Treats & Toys > Toys & Licks,0,Eliot's Trailer,GRANAPX8US,Corro Trailer 1,,,0,1850,3700,7990,0,0
Treats / Toys,1778252144214,1,Size: 550 Grams,Flavor: Multigrain,,Likit Granola Horse Treat Refill,Horse Care > Treats & Toys > Toys & Licks,2,Eliot's Trailer,GRANORX8US,Corro Trailer 1,,,3700,3840,3980,7990,0,0
Treats / Toys,1778252144214,1,Size: 550 Grams,Flavor: Mixed Berry,,Likit Granola Horse Treat Refill,Horse Care > Treats & Toys > Toys & Licks,1,Eliot's Trailer,GRANMBX8US,Corro Trailer 1,,,0,1850,3700,7990,0,0
Treats / Toys,1778252144214,1,Size: 550 Grams,Flavor: Mixed Peppermint,,Likit Granola Horse Treat Refill,Horse Care > Treats & Toys > Toys & Licks,1,Eliot's Trailer,GRANMIX8US,Corro Trailer 1,,,0,1850,3700,7990,0,0
Treats / Toys,1778252144214,1,Size: 5 Pounds,,,Kelcie's Treats Pumpkin Spice Horse Treat,Horse Care > Treats & Toys > Treats,4,Eliot's Trailer,19718-3,Corro Trailer 1,,,23870,24935,26000,42950,0,0
Treats / Toys,1778252144214,1,Size: 1 Pound,,,Kelcie's Treats Pumpkin Spice Horse Treat,Horse Care > Treats & Toys > Treats,5,Eliot's Trailer,19718-2,Corro Trailer 1,,,8000,8000,8000,18490,0,0
Supplements,1778252144213,1,Size: 60 cc (1-2 Doses),,,Perfect Prep EQ Gold Calming Paste,Horse Care > Supplements > Calming & Focus,4,Eliot's Trailer,851393005024,Corro Trailer 1,2027-11-01,Lot# 3386755,17000,17000,17000,25490,0,0
Supplements,1778252144213,1,Size: 60 cc (1-2 Doses),,,Perfect Prep EQ Gold Calming Paste,Horse Care > Supplements > Calming & Focus,5,Eliot's Trailer,851393005024,Corro Trailer 1,2027-08-01,Lot#3356171,17000,17000,17000,25490,0,0
Supplements,1778252144213,1,Size: 10 Pounds,,,Perfect Prep EQ Gold Pellets,Horse Care > Supplements > Calming & Focus,1,Eliot's Trailer,851393005420,Corro Trailer 1,2027-02-01,3326811,270000,270000,270000,429000,0,0
Supplements,1778252144213,1,Size: 80 cc (1 Dose),,,Perfect Prep EQ Supreme Paste,Horse Care > Supplements > Calming & Focus,32,Eliot's Trailer,851393005017,Corro Trailer 1,2027-11-01,Lot#3385399,15600,15600,15600,23990,0,0
Hoof Care,1778252024407,1,Size: 23 Pounds,,,SORE NO-MORE Performance Poultice,Horse Care > First Aid & Wellness > Poultices & Hoof Packing,2,Eliot's Trailer,AE007,Corro Trailer 1,,,108770,108770,108770,177020,0,0
First Aid,1778252086689,1,Size: 5 Pounds,,,SORE NO-MORE Performance Poultice,Horse Care > First Aid & Wellness > Poultices & Hoof Packing,1,Eliot's Trailer,AE006,Corro Trailer 1,,,27780,27780,27780,44400,0,0
Treats / Toys,1778252144214,1,Title: Default Title,,,Likit Himalayan Rock Salt,Horse Care > Treats & Toys > Toys & Licks,6,Eliot's Trailer,BLIC6US,Corro Trailer 1,,,4680,4680,4680,7990,0,0
Grooming,1778252024408,1,Color: White,,,Super Bands Braiding Bands,Horse Care > Grooming & Bathing > Brushes & Tools > Braiding,24,Eliot's Trailer,BNDWH,Corro Trailer 1,,,4590,4825,5060,8990,0,0
Grooming,1778252024408,1,Color: Red/Sorrel,,,Super Bands Braiding Bands,Horse Care > Grooming & Bathing > Brushes & Tools > Braiding,6,Eliot's Trailer,BNDRD,Corro Trailer 1,,,5060,5060,5060,8990,0,0
Grooming,1778252024408,1,Color: Black,,,Super Bands Braiding Bands,Horse Care > Grooming & Bathing > Brushes & Tools > Braiding,12,Eliot's Trailer,BNDBK,Corro Trailer 1,,,4590,4825,5060,8990,0,12
Grooming,1778252024408,1,Color: Brown/Chestnut,,,Super Bands Braiding Bands,Horse Care > Grooming & Bathing > Brushes & Tools > Braiding,12,Eliot's Trailer,BNDBN,Corro Trailer 1,,,4590,4890,5190,8990,0,0
Grooming,1778252024408,1,Color: Grey,,,Super Bands Braiding Bands,Horse Care > Grooming & Bathing > Brushes & Tools > Braiding,16,Eliot's Trailer,13446-3,Corro Trailer 1,,,5060,5060,5060,8990,0,0
Grooming,1778252024408,1,Size: 32 Ounces,,,Absorbine Santa Fe Coat Conditioner and Sunscreen,"Horse Care > Grooming & Bathing > Shampoos, Conditioners & Sprays > Detanglers, Shines & Sprays",12,Eliot's Trailer,12319-1,Corro Trailer 1,,,11380,11617,12090,15090,0,0
Grooming,1778252024408,1,Size: 1 Gallon,,,Aloe Advantage Concentrated Shampoo,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Shampoos",4,Eliot's Trailer,077-00345,Corro Trailer 1,,,12880,12880,12880,16490,0,4
First Aid,1778252086689,1,Size: 32 Ounces,,,Fiebing's Hoof Dressing,Horse Care > Grooming & Bathing > Hoof Oils & Conditioner,2,Eliot's Trailer,11017-1,Corro Trailer 1,,,12650,12650,12650,15990,0,0
Grooming,1778252024408,1,Color: Black,,,Tough-1 Rubber Grooming Glove,"Horse Care > Grooming & Bathing > Brushes & Tools > Grooming Gloves, Curry Combs & Deshedding Tools",10,Eliot's Trailer,68-24485-2-0,Corro Trailer 1,,,1990,1990,1990,3950,0,0
First Aid,1778252086689,1,Size: 3 Ounces (Roll On),,,Valhoma DMSO Dimethyl Sulfoxide Solution 99%,Horse Care > First Aid & Wellness > Liniments,2,Eliot's Trailer,DMSOROLLON,Corro Trailer 1,,,6880,6880,6880,9950,0,0
First Aid,1778252086689,1,Size: 16 Ounces,,,Valhoma DMSO Dimethyl Sulfoxide Solution 99%,Horse Care > First Aid & Wellness > Liniments,2,Eliot's Trailer,SO99PT,Corro Trailer 1,,,14600,14600,14600,18950,0,0
Supplements,1778252144213,1,Size: 5 Pounds,,,Kentucky Performance Products Summer Games Electrolyte,Horse Care > Supplements > Electrolytes & Salt,5,Eliot's Trailer,630995,Corro Trailer 1,2027-07-01,Lot #0001179099,13740,13740,13740,19950,0,0
First Aid,1778252086689,1,Size: 16 Ounces,,,Valhoma DMSO Gel,Horse Care > First Aid & Wellness > Liniments,2,Eliot's Trailer,764782001906,Corro Trailer 1,,,18390,18390,18390,24990,0,0
Horse Wear,1778252234587,1,Size: Horse,Color: Black,,Pomms Original,Tack & Equipment > Ear Plugs & Bonnets > Ear Plugs,5,Eliot's Trailer,1000_EHI,Corro Trailer 1,,,6500,6500,6500,11000,0,0
Horse Wear,1778252234587,1,Size: Pony,Color: Black,,"Pomms Smooth Style, 4 Pack",Tack & Equipment > Ear Plugs & Bonnets > Ear Plugs,5,Eliot's Trailer,1301,Corro Trailer 1,,,6500,6500,6500,13990,0,0
Horse Wear,1778252234587,1,Size: Horse,Color: Black,,"Pomms Smooth Style, 4 Pack",Tack & Equipment > Ear Plugs & Bonnets > Ear Plugs,2,Eliot's Trailer,1300,Corro Trailer 1,,,5670,5670,5670,13990,0,0
Horse Wear,1778252234587,1,Size: Pony,Color: Black,,Pomms Original,Tack & Equipment > Ear Plugs & Bonnets > Ear Plugs,4,Eliot's Trailer,1001_EHI,Corro Trailer 1,,,6500,6500,6500,8990,0,0
Grooming,1778252024408,1,Title: Default Title,,,"Spitfire Poultice Paper, Single Roll",Horse Care > First Aid & Wellness > Poultices & Hoof Packing,6,Eliot's Trailer,SFPP,Corro Trailer 1,,,5500,5500,5500,9990,0,0
Fly Gear,1778252234584,1,Size: 32 Ounces,,,Absorbine UltraShield EX Insecticide and Repellent,Horse Care > Fly & Insect Control > Fly Sprays & Traps,12,Eliot's Trailer,430854,Corro Trailer 1,,,18200,18200,18200,26990,0,12
Fly Gear,1778252234584,1,Size: Gallon,,,Absorbine UltraShield EX Insecticide and Repellent,Horse Care > Fly & Insect Control > Fly Sprays & Traps,4,Eliot's Trailer,430870,Corro Trailer 1,,,54830,54830,54830,79190,0,28
Rider,1778252234585,1,Color: Dark Brown,,,One Knot Hair Net,Rider > Accessories & Apparel > Accessories,5,Eliot's Trailer,18911-4,Corro Trailer 1,,,5960,5960,5960,9990,0,0
Rider,1778252234585,1,Color: Light Brown,,,One Knot Hair Net,Rider > Accessories & Apparel > Accessories,5,Eliot's Trailer,18911-2,Corro Trailer 1,,,5960,5960,5960,9990,0,0
Rider,1778252234585,1,Color: Blonde,,,One Knot Hair Net,Rider > Accessories & Apparel > Accessories,5,Eliot's Trailer,18911-1,Corro Trailer 1,,,5960,5960,5960,9990,0,0
Rider,1778252234585,1,Color: Medium Brown,,,One Knot Hair Net,Rider > Accessories & Apparel > Accessories,5,Eliot's Trailer,18911-3,Corro Trailer 1,,,5960,5960,5960,9990,0,0
First Aid,1778252086689,1,Size: Large,,,Aspen Nitrile Gloves,Horse Care > First Aid & Wellness > First Aid Supplies,4,Eliot's Trailer,21274982,Corro Trailer 1,,,5250,5250,5250,9990,0,0
First Aid,1778252086689,1,Size: Medium,,,Aspen Nitrile Gloves,Horse Care > First Aid & Wellness > First Aid Supplies,4,Eliot's Trailer,21274981,Corro Trailer 1,,,5250,5250,5250,9990,0,0
Grooming,1778252024408,1,Color: Black,,,"Quick Knot Deluxe Braiding Pins, Multi-Pack",Horse Care > Grooming & Bathing > Brushes & Tools > Braiding,40,Eliot's Trailer,SUM408,Corro Trailer 1,,,3000,3000,3000,9990,0,0
Tack,1778180207021,1,Size: Full,Color: Brown,,Dy'on Figure 8 Noseband Bridle - D Collection,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Bridles",1,Eliot's Trailer,DYAAAC-BR-F,Corro Trailer 1,,,193770,193770,193770,629990,0,0
Tack,1778180207021,1,Size: Full,Color: Brown,,Dy'on Cavesson Noseband Bridle - US Collection,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Bridles",1,Eliot's Trailer,USKDAJ-BR-F,Corro Trailer 1,,,186850,186850,186850,604990,0,0
Tack,1778180207021,1,Size: Cob,Color: Brown,,Dy'on Bridge Breastplate - D Collection,Tack & Equipment > Martingales & Breastplates,1,Eliot's Trailer,DY06D-BR-C,Corro Trailer 1,,,152240,152240,152240,494990,0,0
Tack,1778180207021,1,Size: Cob,Color: Brown,,Dy'on Standing Martingale - US Collection,Tack & Equipment > Martingales & Breastplates,1,Eliot's Trailer,US07H-BR-C,Corro Trailer 1,,,100340,100340,100340,324990,0,0
